"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"LLNumber","character",1500,0,4,NA,NA,750,"Not asked / no landline phone",NA,0.607577777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MobileNumber","character",1500,0,4,NA,NA,1434,"Yes",NA,0.0847751111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HrsWork_M","character",1500,0,60,NA,NA,712,"Not Asked",NA,0.745924444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CanBuy_M","character",1500,0,9,NA,NA,573,"We can buy food and clothes, but do not have money to buy long-term items, like a TV or a refrigerator",NA,0.755583111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Identfy_M","character",1500,0,8,NA,NA,1276,"A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]",NA,0.265634666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Religion_M","character",1500,0,10,NA,NA,919,"Muslim",NA,0.539277333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ServiceProvider_M","character",1500,0,9,NA,NA,509,"Beeline",NA,0.717594666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EducLevel_M","character",1500,0,7,NA,NA,554,"Vocational (vocational school, lyceum etc.)",NA,0.693332444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"totwt","numeric",1500,0,118,1,0.963951678947457,0.963951678947457,NA,0.321242467259457,NA,0.344834159714438,2.4633171982197,2.11848303850526,0.844198480769741,6.68064266139487,1.42450601422945,5.64021884620008,NA,NA
"AgeGroup2","character",1500,0,6,NA,NA,428,"18-29",NA,0.781927111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RiteRong_M","character",1500,0,5,NA,NA,1358,"Right direction",NA,0.175620444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Party_M","character",1500,0,14,NA,NA,1088,"Otan Party",NA,0.452488888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TodayEcSit_M","character",1500,0,8,NA,NA,469,"About the Same",NA,0.754824,NA,NA,NA,NA,NA,NA,NA,NA,NA
